Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,MoSCoW,비고
MH-005,-,메인 홈,히스토리,최근 본 이벤트,FE,-,-,UI,0,진행 전,C,-
MH-006,-,메인 홈,추천,추천 이벤트 (뱃지 기반),BE+FE,-,-,UI/API,0,진행 전,W,-
RP-001,-,신고 데이터 모델,API,신고 생성 API (유저),BE,-,-,API,0,진행 전,M,-
RP-002,-,신고 데이터 모델,API,내 신고 내역 조회,BE,-,-,API,0,진행 전,S,-
RP-003,-,신고 데이터 모델,상세분류,신고 사유 상세 분류,BE,-,-,API,0,진행 전,S,-
RP-004,-,신고 데이터 모델,처리단계,신고 처리 단계 (4단계),BE,-,-,API,0,진행 전,S,-
RP-005,-,신고 데이터 모델,상태관리,제재 상태 관리 스키마,BE,-,-,API,0,진행 전,S,-
RP-006,-,신고 데이터 모델,이력관리,신고 이력 저장,BE,-,-,API,0,진행 전,S,-
RP-007,-,신고 데이터 모델,알림,제재 알림 발송,BE,-,-,API,0,진행 전,S,-
MY-004,-,마이페이지,주문,결제 내역 상세 보기,FE,-,-,UI,0,진행 전,S,-
MY-005,-,마이페이지,주문,환불 신청 버튼,FE,-,-,UI,0,진행 전,S,-
MY-006,-,마이페이지,이벤트,내 강의 관리 (수강중/완료 탭),BE+FE,-,-,UI/API,0,진행 전,M,-
MY-007,-,마이페이지,이벤트,수강 중 탭: 강의 입장 버튼,FE,-,-,UI,0,진행 전,S,-
MY-009,-,마이페이지,이벤트,수강 완료 탭: 리뷰 작성 유도,FE,-,-,UI,0,진행 전,S,-
MY-010,-,마이페이지,찜/장바구니,찜 목록 페이지,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-011,-,마이페이지,찜/장바구니,찜 해제 + 장바구니 담기,FE,-,-,UI,0,진행 전,S,-
MY-012,-,마이페이지,커뮤니티,내 커뮤니티: 탭 1 - 참여 중,BE+FE,-,-,UI/API,0,진행 전,M,-
MY-013,-,마이페이지,커뮤니티,내 커뮤니티: 탭 2 - 커뮤니티 북마크,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-014,-,마이페이지,커뮤니티,내 커뮤니티: 탭 3 - 내가 쓴 게시물,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-015,-,마이페이지,커뮤니티,내 커뮤니티: 탭 4 - 게시물 북마크,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-018,-,마이페이지,프로필,프로필 설정: 관심 카테고리 등록,BE+FE,-,-,UI/API,0,진행 전,S,-
