Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,비고
117,Sprint 2,에디터 (FE),Step 1 기본 정보 UI,"Step 1 기본 정보 입력 폼 (제목/설명/카테고리/타입) 마크업 & CSS",,2026-04-10,2026-04-10,UI 화면,0,진행 전,"Day 1"
118,Sprint 2,에디터 (FE),Step 2 장소·일정 UI,"Step 2 장소·일정 설정 폼 (위치/온라인 여부/날짜) 마크업 & CSS",,2026-04-10,2026-04-10,UI 화면,0,진행 전,"Day 1"
119,Sprint 2,에디터 (FE),Step 3 티켓·가격 UI,"Step 3 티켓·가격 설정 폼 (유·무료/가격/최대인원) 마크업 & CSS",,2026-04-10,2026-04-10,UI 화면,0,진행 전,"Day 1"
120,Sprint 2,에디터 (FE),Step 4 세션·프로그램 UI,"Step 4 세션·프로그램 관리 폼 (세션 추가·수정·삭제·정렬) 마크업 & CSS",,2026-04-10,2026-04-10,UI 화면,0,진행 전,"Day 1"
121,Sprint 2,에디터 (FE),Step 5 미리보기·발행 UI,"Step 5 미리보기 요약 & 발행 확인 화면 마크업 & CSS",,2026-04-10,2026-04-10,UI 화면,0,진행 전,"Day 1"
122,Sprint 2,에디터 (FE),5Step 이벤트 생성 API 연동,"Step 1~3 데이터 바인딩 + [POST /host/events] 생성 Fetch 연동",,2026-04-10,2026-04-10,연동 코드,0,진행 전,"Day 1"
123,Sprint 2,에디터 (FE),세션 CRUD API 연동,"Step 4 세션 CRUD [POST/GET/PUT/DELETE sessions] Fetch 연동",,2026-04-10,2026-04-10,연동 코드,0,진행 전,"Day 1"
124,Sprint 2,에디터 (FE),미리보기·발행 API 연동,"Step 5 데이터 조합 + [PATCH /host/events/{id}/status] 발행 Fetch 연동",,2026-04-10,2026-04-10,연동 코드,0,진행 전,"Day 1"
,,,,,,,,,,,,"휴무 4/11(토) 4/12(일)"
,,,,,,,,,,,
,,📌 Day 2 (4/13) — 포트원 결제 연동,,,,,,,,
125,Sprint 2,결제 (BE),Payment API (C),"[POST /payments/prepare] 결제 준비 API (merchant_uid 생성)",,2026-04-13,2026-04-13,API,0,진행 전,"Day 2"
126,Sprint 2,결제 (BE),Payment API (C),"[POST /payments/complete] 결제 완료 검증 API (포트원 imp_uid 검증)",,2026-04-13,2026-04-13,API,0,진행 전,"Day 2"
127,Sprint 2,결제 (BE),Payment API (R),"[GET /payments/{id}] 결제 상세 조회 API",,2026-04-13,2026-04-13,API,0,진행 전,"Day 2"
128,Sprint 2,결제 (BE),Payment API (U),"[POST /payments/{id}/refund] 환불 처리 API",,2026-04-13,2026-04-13,API,0,진행 전,"Day 2"
129,Sprint 2,결제 (BE),포트원 서버 SDK 설정,"포트원 API Key·Secret 관리 + 서버 SDK 초기화 설정",,2026-04-13,2026-04-13,설정 파일,0,진행 전,"Day 2"
130,Sprint 2,결제 (FE),포트원 JS SDK 초기화,"포트원 JS SDK 스크립트 로드 + 가맹점 식별코드 설정",,2026-04-13,2026-04-13,설정 코드,0,진행 전,"Day 2"
131,Sprint 2,결제 (FE),결제 요청 버튼 UI,"결제창 호출 버튼 (이벤트 상세 내) 마크업 & CSS",,2026-04-13,2026-04-13,UI 화면,0,진행 전,"Day 2 · 더미→실 결제 전환"
132,Sprint 2,결제 (FE),결제 요청 API 연동,"[POST /payments/prepare] + 포트원 결제창(IMP.request_pay) 호출 Fetch 연동",,2026-04-13,2026-04-13,연동 코드,0,진행 전,"Day 2"
133,Sprint 2,결제 (FE),결제 완료 결과 UI,"결제 완료 콜백 처리 & 결과 페이지 마크업 & CSS",,2026-04-13,2026-04-13,UI 화면,0,진행 전,"Day 2"
134,Sprint 2,결제 (FE),결제 완료 API 연동,"[POST /payments/complete] 결제 검증 Fetch 연동",,2026-04-13,2026-04-13,연동 코드,0,진행 전,"Day 2"
135,Sprint 2,결제 (FE),환불 요청 버튼 UI,"환불 요청 버튼 (주문 상세 내) 마크업 & CSS",,2026-04-13,2026-04-13,UI 화면,0,진행 전,"Day 2"
136,Sprint 2,결제 (FE),환불 API 연동,"[POST /payments/{id}/refund] 환불 Fetch 연동",,2026-04-13,2026-04-13,연동 코드,0,진행 전,"Day 2"
137,Sprint 2,결제 (FE),결제 내역 상세 UI,"결제 내역 상세 페이지 마크업 & CSS",,2026-04-13,2026-04-13,UI 화면,0,진행 전,"Day 2"
138,Sprint 2,결제 (FE),결제 내역 API 연동,"[GET /payments/{id}] 결제 상세 Fetch 연동",,2026-04-13,2026-04-13,연동 코드,0,진행 전,"Day 2"
,,,,,,,,,,,
,,📌 Day 3 (4/14) — 수수료 시스템,,,,,,,,
139,Sprint 2,수수료 (BE),Commission API (R),"[GET /admin/commission/policy] 수수료 정책 조회 API",,2026-04-14,2026-04-14,API,0,진행 전,"Day 3"
140,Sprint 2,수수료 (BE),Commission API (U),"[PUT /admin/commission/policy] 수수료 정책 수정 API (Admin)",,2026-04-14,2026-04-14,API,0,진행 전,"Day 3"
141,Sprint 2,수수료 (BE),수수료 계산 로직,"수수료 자동 계산 서비스 레이어 구현 (주문 금액 × 수수료율)",,2026-04-14,2026-04-14,비즈니스 로직,0,진행 전,"Day 3"
142,Sprint 2,정산 (BE),Settlement API (R),"[GET /host/settlements] Host 정산 내역 목록 조회 API",,2026-04-14,2026-04-14,API,0,진행 전,"Day 3"
143,Sprint 2,정산 (BE),Settlement API (R),"[GET /host/settlements/{id}] Host 정산 상세 조회 API",,2026-04-14,2026-04-14,API,0,진행 전,"Day 3"
144,Sprint 2,정산 (BE),Settlement API (C),"[POST /admin/settlements/process] 정산 처리 API (Admin)",,2026-04-14,2026-04-14,API,0,진행 전,"Day 3"
145,Sprint 2,정산 (BE),Settlement API (R),"[GET /admin/settlements] 전체 정산 목록 조회 API (Admin)",,2026-04-14,2026-04-14,API,0,진행 전,"Day 3"
146,Sprint 2,정산 (FE),Host 정산 대시보드 UI,"Host 정산 요약 카드 (총 수익/수수료/정산액) 화면 마크업 & CSS",,2026-04-14,2026-04-14,UI 화면,0,진행 전,"Day 3"
147,Sprint 2,정산 (FE),Host 정산 대시보드 API 연동,"[GET /host/settlements] 정산 목록 Fetch 연동",,2026-04-14,2026-04-14,연동 코드,0,진행 전,"Day 3"
148,Sprint 2,정산 (FE),Host 정산 상세 UI,"Host 정산 상세 페이지 (거래 내역 테이블) 마크업 & CSS",,2026-04-14,2026-04-14,UI 화면,0,진행 전,"Day 3"
149,Sprint 2,정산 (FE),Host 정산 상세 API 연동,"[GET /host/settlements/{id}] 정산 상세 Fetch 연동",,2026-04-14,2026-04-14,연동 코드,0,진행 전,"Day 3"
150,Sprint 2,수수료 (FE),Admin 수수료 정책 관리 UI,"수수료 정책 설정 폼 (수수료율 조회/수정) 마크업 & CSS",,2026-04-14,2026-04-14,UI 화면,0,진행 전,"Day 3"
151,Sprint 2,수수료 (FE),Admin 수수료 정책 API 연동,"[GET/PUT /admin/commission/policy] 정책 조회·수정 Fetch 연동",,2026-04-14,2026-04-14,연동 코드,0,진행 전,"Day 3"
152,Sprint 2,정산 (FE),Admin 정산 관리 테이블 UI,"전체 정산 목록 테이블 + 정산 처리 버튼 마크업 & CSS",,2026-04-14,2026-04-14,UI 화면,0,진행 전,"Day 3"
153,Sprint 2,정산 (FE),Admin 정산 관리 API 연동,"[GET /admin/settlements] 목록 + [POST /admin/settlements/process] 처리 Fetch 연동",,2026-04-14,2026-04-14,연동 코드,0,진행 전,"Day 3"
,,,,,,,,,,,
,,📌 Day 4 (4/15) — 대기열 + 뱃지,,,,,,,,
154,Sprint 2,대기열 (BE),Waitlist API (C),"[POST /events/{id}/waitlist] 대기열 등록 API",,2026-04-15,2026-04-15,API,0,진행 전,"Day 4"
155,Sprint 2,대기열 (BE),Waitlist API (D),"[DELETE /events/{id}/waitlist] 대기열 취소 API",,2026-04-15,2026-04-15,API,0,진행 전,"Day 4"
156,Sprint 2,대기열 (BE),Waitlist API (R),"[GET /events/{id}/waitlist] 대기열 목록 조회 API (Host)",,2026-04-15,2026-04-15,API,0,진행 전,"Day 4"
157,Sprint 2,대기열 (BE),대기열 자동 승격 로직,"취소 감지 → 대기 1순위 자동 등록 처리 서비스 레이어",,2026-04-15,2026-04-15,비즈니스 로직,0,진행 전,"Day 4"
158,Sprint 2,뱃지 (BE),Badge API (C),"[POST /admin/badges] 뱃지 유형 생성 API (Admin)",,2026-04-15,2026-04-15,API,0,진행 전,"Day 4"
159,Sprint 2,뱃지 (BE),Badge API (R),"[GET /badges] 뱃지 목록 조회/검색 API",,2026-04-15,2026-04-15,API,0,진행 전,"Day 4"
160,Sprint 2,뱃지 (BE),Badge API (R),"[GET /mypage/badges] 내 뱃지 목록 조회 API",,2026-04-15,2026-04-15,API,0,진행 전,"Day 4"
161,Sprint 2,뱃지 (BE),뱃지 자동 발급 로직,"이벤트 완료 시 뱃지 자동 발급 트리거 서비스 레이어",,2026-04-15,2026-04-15,비즈니스 로직,0,진행 전,"Day 4"
162,Sprint 2,대기열 (FE),대기열 등록/취소 버튼 UI,"이벤트 상세 내 대기열 등록·취소 버튼 마크업 & CSS",,2026-04-15,2026-04-15,UI 화면,0,진행 전,"Day 4 · 매진 시 노출"
163,Sprint 2,대기열 (FE),대기열 등록/취소 API 연동,"[POST/DELETE /events/{id}/waitlist] 등록·취소 Fetch 연동",,2026-04-15,2026-04-15,연동 코드,0,진행 전,"Day 4"
164,Sprint 2,대기열 (FE),대기열 순번·타이머 UI,"대기 순번 표시 & 잔여 시간 타이머 카운트다운 마크업 & CSS",,2026-04-15,2026-04-15,UI 화면,0,진행 전,"Day 4"
165,Sprint 2,대기열 (FE),Host 대기열 관리 UI & 연동,"Host 대기열 목록 테이블 UI + [GET /events/{id}/waitlist] Fetch 연동",,2026-04-15,2026-04-15,UI & 연동,0,진행 전,"Day 4"
166,Sprint 2,뱃지 (FE),뱃지 컬렉션 목록 UI,"내 뱃지 컬렉션 그리드 화면 마크업 & CSS",,2026-04-15,2026-04-15,UI 화면,0,진행 전,"Day 4"
167,Sprint 2,뱃지 (FE),뱃지 컬렉션 API 연동,"[GET /mypage/badges] 내 뱃지 목록 Fetch 연동",,2026-04-15,2026-04-15,연동 코드,0,진행 전,"Day 4"
168,Sprint 2,뱃지 (FE),뱃지 검색 UI & 연동,"뱃지 검색 UI + [GET /badges] 뱃지 검색 Fetch 연동",,2026-04-15,2026-04-15,UI & 연동,0,진행 전,"Day 4"
169,Sprint 2,뱃지 (FE),Admin 뱃지 관리 UI,"뱃지 유형 등록 폼 마크업 & CSS",,2026-04-15,2026-04-15,UI 화면,0,진행 전,"Day 4"
170,Sprint 2,뱃지 (FE),Admin 뱃지 관리 API 연동,"[POST /admin/badges] 뱃지 생성 Fetch 연동",,2026-04-15,2026-04-15,연동 코드,0,진행 전,"Day 4"
,,,,,,,,,,,
,,📌 Day 5 (4/16) — 구독·찜 + 스터디 매칭,,,,,,,,
171,Sprint 2,구독 (BE),Subscribe API (C),"[POST /hosts/{hostId}/subscribe] 강사 구독 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
172,Sprint 2,구독 (BE),Subscribe API (D),"[DELETE /hosts/{hostId}/subscribe] 강사 구독 취소 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
173,Sprint 2,구독 (BE),Subscribe API (R),"[GET /mypage/subscriptions] 내 구독 목록 조회 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
174,Sprint 2,찜 (BE),Bookmark API (C),"[POST /events/{id}/bookmark] 이벤트 찜 등록 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
175,Sprint 2,찜 (BE),Bookmark API (D),"[DELETE /events/{id}/bookmark] 이벤트 찜 취소 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
176,Sprint 2,찜 (BE),Bookmark API (R),"[GET /mypage/bookmarks] 내 찜 목록 조회 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
177,Sprint 2,스터디 (BE),Study API (C),"[POST /study/match] 스터디 매칭 신청 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5 · 수강 완료 후 자동 매칭"
178,Sprint 2,스터디 (BE),Study API (R),"[GET /study/groups] 내 스터디 그룹 목록 조회 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
179,Sprint 2,스터디 (BE),Study API (R),"[GET /study/groups/{id}] 스터디 그룹 상세 조회 API",,2026-04-16,2026-04-16,API,0,진행 전,"Day 5"
180,Sprint 2,구독 (FE),구독 버튼 UI,"Host 프로필 내 구독/구독 취소 토글 버튼 마크업 & CSS",,2026-04-16,2026-04-16,UI 화면,0,진행 전,"Day 5"
181,Sprint 2,구독 (FE),구독 API 연동,"[POST/DELETE /hosts/{hostId}/subscribe] 구독 토글 Fetch 연동",,2026-04-16,2026-04-16,연동 코드,0,진행 전,"Day 5"
182,Sprint 2,구독 (FE),내 구독 목록 UI,"내 구독 Host 리스트 화면 마크업 & CSS",,2026-04-16,2026-04-16,UI 화면,0,진행 전,"Day 5"
183,Sprint 2,구독 (FE),내 구독 목록 API 연동,"[GET /mypage/subscriptions] 구독 목록 Fetch 연동",,2026-04-16,2026-04-16,연동 코드,0,진행 전,"Day 5"
184,Sprint 2,찜 (FE),찜 버튼 UI,"이벤트 카드·상세 내 찜 하트 토글 버튼 마크업 & CSS",,2026-04-16,2026-04-16,UI 화면,0,진행 전,"Day 5"
185,Sprint 2,찜 (FE),찜 API 연동,"[POST/DELETE /events/{id}/bookmark] 찜 토글 Fetch 연동",,2026-04-16,2026-04-16,연동 코드,0,진행 전,"Day 5"
186,Sprint 2,찜 (FE),내 찜 목록 UI,"내 찜 이벤트 리스트 화면 마크업 & CSS",,2026-04-16,2026-04-16,UI 화면,0,진행 전,"Day 5"
187,Sprint 2,찜 (FE),내 찜 목록 API 연동,"[GET /mypage/bookmarks] 찜 목록 Fetch 연동",,2026-04-16,2026-04-16,연동 코드,0,진행 전,"Day 5"
188,Sprint 2,스터디 (FE),스터디 매칭 신청 UI,"스터디 매칭 신청 폼 (선호 시간/인원) 마크업 & CSS",,2026-04-16,2026-04-16,UI 화면,0,진행 전,"Day 5"
189,Sprint 2,스터디 (FE),스터디 매칭 API 연동,"[POST /study/match] 매칭 신청 Fetch 연동",,2026-04-16,2026-04-16,연동 코드,0,진행 전,"Day 5"
190,Sprint 2,스터디 (FE),스터디 그룹 목록 UI,"내 스터디 그룹 카드 리스트 화면 마크업 & CSS",,2026-04-16,2026-04-16,UI 화면,0,진행 전,"Day 5"
191,Sprint 2,스터디 (FE),스터디 그룹 목록 API 연동,"[GET /study/groups] 그룹 목록 Fetch 연동",,2026-04-16,2026-04-16,연동 코드,0,진행 전,"Day 5"
192,Sprint 2,스터디 (FE),스터디 그룹 상세 UI,"스터디 그룹 상세 (멤버/일정) 화면 마크업 & CSS",,2026-04-16,2026-04-16,UI 화면,0,진행 전,"Day 5"
193,Sprint 2,스터디 (FE),스터디 그룹 상세 API 연동,"[GET /study/groups/{id}] 그룹 상세 Fetch 연동",,2026-04-16,2026-04-16,연동 코드,0,진행 전,"Day 5"
,,,,,,,,,,,
,,📌 Day 6 (4/17) — 통합 테스트 + 배포 + 리뷰,,,,,,,,
194,Sprint 2,통합,확장 기능 E2E 검증,"전체 시나리오 (에디터→결제→수수료→대기열→뱃지→구독→찜→스터디) E2E 테스트",,2026-04-17,2026-04-17,테스트 결과,0,진행 전,"Day 6"
195,Sprint 2,통합,버그 픽스 & 안정화,"E2E 검증 후 발견된 버그 수정 및 안정화",,2026-04-17,2026-04-17,수정 코드,0,진행 전,"Day 6"
196,Sprint 2,인프라,배포 파이프라인 최종 테스트,"GitHub Actions CI/CD 최종 검증 (빌드→배포→확인)",,2026-04-17,2026-04-17,배포 환경,0,진행 전,"Day 6"
197,Sprint 2,🟢 리뷰/회고,스프린트 리뷰 & 회고,"확장 기능 전체 데모 + 피드백 + 회고",,2026-04-17,2026-04-17,리뷰/회고 기록,0,진행 전,"Day 6"
,,,,,,,,,,,,"휴무 4/18(토) 4/19(일)"
,,,,,,,,,,,
,,"Sprint 3: 시연 준비 & 발표 (4/20월) — 근무 1일 — 🎯 D-Day",,,,,,,,
198,Sprint 3,시연 준비,데모 서버 최종 반영,"prod 브랜치 최종 배포 · 서버 정상 기동 확인",,2026-04-20,2026-04-20,배포 환경,0,진행 전,
199,Sprint 3,시연 준비,더미 데이터 세팅,"시연용 이벤트·유저·커뮤니티·주문 샘플 데이터 삽입",,2026-04-20,2026-04-20,초기 데이터,0,진행 전,
200,Sprint 3,시연 준비,이미지·썸네일 세팅,"시연용 이벤트 썸네일 · 프로필 이미지 업로드 확인",,2026-04-20,2026-04-20,이미지 파일,0,진행 전,
201,Sprint 3,최종 점검,전체 기능 E2E 확인,"가입→로그인→이벤트→결제→커뮤니티→마이페이지 시나리오 최종 동작 확인",,2026-04-20,2026-04-20,테스트 결과,0,진행 전,
202,Sprint 3,최종 점검,UI/UX 크로스체크,"주요 화면 레이아웃 깨짐 · 반응형 · 버튼 동작 최종 점검",,2026-04-20,2026-04-20,점검 결과,0,진행 전,
203,Sprint 3,최종 점검,시연 리허설,"발표 흐름 맞춰 실제 데모 리허설 1~2회 진행",,2026-04-20,2026-04-20,리허설 기록,0,진행 전,
204,Sprint 3,🎯 발표,프로젝트 발표,"최종 프로젝트 발표 및 시연",,2026-04-20,2026-04-20,발표 자료,0,진행 전,"🎯 D-Day"
