Summary,Issue Type,Epic Name,Priority,Start date,Due date,Labels,Description
"UP-006: 활동 내역 - 참여 커뮤니티",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,공개 커뮤니티만
"UP-007: 커뮤니티 초대 버튼",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature FE,내 커뮤니티에 초대
"UP-008: 사용자 신고 버튼",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,targetType: USER
"UP-009: 활동 통계 요약 카드",Task,뱃지/프로필/공지 시스템,Low,,,Future Feature FE,게시물/댓글/리뷰/뱃지 수
"NB-001: 전체 통합 공지 게시판",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,이용안내/공지/문의/QnA
"NB-002: 공지 카테고리 분류",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature FE,카테고리별 탭/필터
"NB-003: 신고 이의 제기 게시판",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,부당 신고 이의 제기
"NB-004: 요청 게시판 (호스트용)",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,호스트 → 어드민 요청
"NB-005: 커뮤니티 관리자 요청 페이지",Task,뱃지/프로필/공지 시스템,Medium,,,Future Feature Full,호스트 요청 처리
"NB-006: 공지 알림 연동",Task,뱃지/프로필/공지 시스템,Low,,,Future Feature BE,새 공지 시 알림
시연 준비 & 발표,Epic,시연 준비 & 발표,,,,,최종 E2E 점검 + 버그 픽스 + 발표
"최종 E2E 점검",Task,시연 준비 & 발표,Highest,2026-04-20,2026-04-20,Launch Ceremony Full,전체 기능 통합 테스트
"배포 안정화 (버그 픽스)",Task,시연 준비 & 발표,Highest,2026-04-20,2026-04-20,Launch Fix Full,배포 환경 최종 점검
"최종 프로젝트 발표 및 시연",Task,시연 준비 & 발표,Highest,2026-04-20,2026-04-20,Launch Ceremony Full,D-Day 발표
